"filename", "language", "C++", "dream", "comment", "blank", "total"
"/home/napbad/Projects/dream/src/common/dream_const.cpp", "C++", 21, 0, 3, 3, 27
"/home/napbad/Projects/dream/src/common/dream_const.h", "C++", 39, 0, 3, 20, 62
"/home/napbad/Projects/dream/src/common/dream_define.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/common/dream_define.h", "C++", 24, 0, 5, 12, 41
"/home/napbad/Projects/dream/src/common/reserve.cpp", "C++", 1, 0, 3, 4, 8
"/home/napbad/Projects/dream/src/common/reserve.h", "C++", 219, 0, 2, 31, 252
"/home/napbad/Projects/dream/src/compiler/Compiler.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/compiler/Compiler.h", "C++", 5, 0, 3, 5, 13
"/home/napbad/Projects/dream/src/compiler/NativeConverter.cpp", "C++", 20, 0, 3, 7, 30
"/home/napbad/Projects/dream/src/compiler/NativeConverter.h", "C++", 11, 0, 22, 7, 40
"/home/napbad/Projects/dream/src/compiler/gen/ClassCodeGenerator.cpp", "C++", 44, 0, 4, 18, 66
"/home/napbad/Projects/dream/src/compiler/gen/ClassCodeGenerator.h", "C++", 26, 0, 46, 18, 90
"/home/napbad/Projects/dream/src/compiler/gen/ClassFunGenerator.cpp", "C++", 144, 0, 3, 24, 171
"/home/napbad/Projects/dream/src/compiler/gen/ClassFunGenerator.h", "C++", 34, 0, 35, 16, 85
"/home/napbad/Projects/dream/src/compiler/gen/ClassStructGenerator.cpp", "C++", 157, 0, 3, 39, 199
"/home/napbad/Projects/dream/src/compiler/gen/ClassStructGenerator.h", "C++", 41, 0, 84, 27, 152
"/home/napbad/Projects/dream/src/compiler/gen/ClassVarGenerator.cpp", "C++", 100, 0, 11, 23, 134
"/home/napbad/Projects/dream/src/compiler/gen/ClassVarGenerator.h", "C++", 35, 0, 3, 9, 47
"/home/napbad/Projects/dream/src/compiler/gen/CodeGenerator.cpp", "C++", 1, 0, 3, 4, 8
"/home/napbad/Projects/dream/src/compiler/gen/CodeGenerator.h", "C++", 11, 0, 19, 8, 38
"/home/napbad/Projects/dream/src/compiler/gen/DataNodeGenerator.cpp", "C++", 26, 0, 6, 7, 39
"/home/napbad/Projects/dream/src/compiler/gen/DataNodeGenerator.h", "C++", 11, 0, 3, 9, 23
"/home/napbad/Projects/dream/src/compiler/gen/FileStructGenerator.cpp", "C++", 35, 0, 3, 11, 49
"/home/napbad/Projects/dream/src/compiler/gen/FileStructGenerator.h", "C++", 21, 0, 3, 16, 40
"/home/napbad/Projects/dream/src/compiler/gen/FileVarGenerator.cpp", "C++", 160, 0, 6, 36, 202
"/home/napbad/Projects/dream/src/compiler/gen/FileVarGenerator.h", "C++", 34, 0, 69, 20, 123
"/home/napbad/Projects/dream/src/compiler/gen/FunDataRootGenerator.cpp", "C++", 23, 0, 3, 8, 34
"/home/napbad/Projects/dream/src/compiler/gen/FunDataRootGenerator.h", "C++", 14, 0, 3, 11, 28
"/home/napbad/Projects/dream/src/compiler/gen/FunGenerator.cpp", "C++", 58, 0, 3, 16, 77
"/home/napbad/Projects/dream/src/compiler/gen/FunGenerator.h", "C++", 20, 0, 26, 12, 58
"/home/napbad/Projects/dream/src/compiler/gen/FunVarGenerator.cpp", "C++", 158, 0, 3, 38, 199
"/home/napbad/Projects/dream/src/compiler/gen/FunVarGenerator.h", "C++", 33, 0, 62, 19, 114
"/home/napbad/Projects/dream/src/compiler/gen/GCStartGenerator.cpp", "C++", 6, 0, 3, 3, 12
"/home/napbad/Projects/dream/src/compiler/gen/GCStartGenerator.h", "C++", 8, 0, 3, 8, 19
"/home/napbad/Projects/dream/src/compiler/gen/StructDataCodeGenerator.cpp", "C++", 23, 0, 3, 7, 33
"/home/napbad/Projects/dream/src/compiler/gen/StructDataCodeGenerator.h", "C++", 15, 0, 27, 9, 51
"/home/napbad/Projects/dream/src/dream/io/File.drm", "dream", 0, 31, 0, 13, 44
"/home/napbad/Projects/dream/src/dream/net/URL.drm", "dream", 0, 12, 0, 5, 17
"/home/napbad/Projects/dream/src/dream/stl/Math.drm", "dream", 0, 4, 0, 3, 7
"/home/napbad/Projects/dream/src/dream/stl/Vector.drm", "dream", 0, 2, 0, 2, 4
"/home/napbad/Projects/dream/src/dream/test/Test.drm", "dream", 0, 95, 82, 59, 236
"/home/napbad/Projects/dream/src/main.cpp", "C++", 138, 0, 6, 35, 179
"/home/napbad/Projects/dream/src/natives/exception/Exception.cpp", "C++", 1, 0, 3, 2, 6
"/home/napbad/Projects/dream/src/natives/exception/Exception.h", "C++", 16, 0, 5, 9, 30
"/home/napbad/Projects/dream/src/natives/io/File.cpp", "C++", 5, 0, 3, 4, 12
"/home/napbad/Projects/dream/src/natives/io/File.h", "C++", 7, 0, 3, 7, 17
"/home/napbad/Projects/dream/src/natives/io/FileBaseClass.cpp", "C++", 48, 0, 3, 12, 63
"/home/napbad/Projects/dream/src/natives/io/FileBaseClass.h", "C++", 22, 0, 13, 17, 52
"/home/napbad/Projects/dream/src/natives/net/Socket.cpp", "C++", 43, 0, 0, 8, 51
"/home/napbad/Projects/dream/src/natives/net/Socket.h", "C++", 14, 0, 0, 6, 20
"/home/napbad/Projects/dream/src/natives/net/SocketServer.cpp", "C++", 97, 0, 12, 25, 134
"/home/napbad/Projects/dream/src/natives/net/SocketServer.h", "C++", 24, 0, 3, 9, 36
"/home/napbad/Projects/dream/src/natives/system/System.cpp", "C++", 88, 0, 10, 13, 111
"/home/napbad/Projects/dream/src/natives/system/System.h", "C++", 13, 0, 6, 8, 27
"/home/napbad/Projects/dream/src/natives/thread/thread.cpp", "C++", 55, 0, 6, 10, 71
